Rank,Countries,City,Year,Air_Pollution_Index,Air_Pollution_Level
1,Pakistan,Lahore,2017,133.2,Unhealthy
1,Pakistan,Lahore,2018,114.9,Unhealthy
1,Pakistan,Lahore,2019,89.5,Moderate
1,Pakistan,Lahore,2020,79.2,Moderate
1,Pakistan,Lahore,2021,86.5,Moderate
1,Pakistan,Lahore,2022,97.4,Moderate
2,China,Hotan,2017,91.9,Moderate
2,China,Hotan,2018,116,Unhealthy
2,China,Hotan,2019,110.1,Unhealthy
2,China,Hotan,2020,110.2,Unhealthy
2,China,Hotan,2021,101.5,Unhealthy
2,China,Hotan,2022,94.3,Moderate
4,India,Delhi (NCT),2017,108.2,Unhealthy
4,India,Delhi (NCT),2018,113.5,Unhealthy
4,India,Delhi (NCT),2019,98.6,Moderate
4,India,Delhi (NCT),2020,84.1,Moderate
4,India,Delhi (NCT),2021,96.4,Moderate
4,India,Delhi (NCT),2022,92.6,Moderate
10,India,Patna,2017,118.5,Unhealthy
10,India,Patna,2018,119.7,Unhealthy
10,India,Patna,2019,82.1,Moderate
10,India,Patna,2020,68.4,Moderate
10,India,Patna,2021,78.2,Moderate
10,India,Patna,2022,88.9,Moderate
11,India,Ghaziabad,2017,144.6,Unhealthy
11,India,Ghaziabad,2018,135.2,Unhealthy
11,India,Ghaziabad,2019,110.2,Unhealthy
11,India,Ghaziabad,2020,106.6,Unhealthy
11,India,Ghaziabad,2021,102,Unhealthy
11,India,Ghaziabad,2022,88.6,Moderate
19,India,Faridabad,2017,123,Unhealthy
19,India,Faridabad,2018,129.1,Unhealthy
19,India,Faridabad,2019,85,Moderate
19,India,Faridabad,2020,83.3,Moderate
19,India,Faridabad,2021,88.9,Moderate
19,India,Faridabad,2022,79.7,Moderate
20,India,Muzaffarpur,2017,107.4,Unhealthy
20,India,Muzaffarpur,2018,110.3,Unhealthy
20,India,Muzaffarpur,2019,81.2,Moderate
20,India,Muzaffarpur,2020,74.3,Moderate
20,India,Muzaffarpur,2021,82.9,Moderate
20,India,Muzaffarpur,2022,79.2,Moderate
21,India,Noida,2017,134,Unhealthy
21,India,Noida,2018,123.6,Unhealthy
21,India,Noida,2019,97.7,Moderate
21,India,Noida,2020,94.3,Moderate
21,India,Noida,2021,91.4,Moderate
21,India,Noida,2022,78.7,Moderate
22,India,Jind,2017,126.5,Unhealthy
22,India,Jind,2018,91.6,Moderate
22,India,Jind,2019,85.4,Moderate
22,India,Jind,2020,81.6,Moderate
22,India,Jind,2021,84.1,Moderate
22,India,Jind,2022,77.9,Moderate
25,India,Rohtak,2017,96.7,Moderate
25,India,Rohtak,2018,81.6,Moderate
25,India,Rohtak,2019,59.7,Moderate
25,India,Rohtak,2020,74.4,Moderate
25,India,Rohtak,2021,86.9,Moderate
25,India,Rohtak,2022,74.7,Moderate
26,India,Gaya,2017,102.6,Unhealthy
26,India,Gaya,2018,96.6,Moderate
26,India,Gaya,2019,59.4,Moderate
26,India,Gaya,2020,46.3,Good
26,India,Gaya,2021,46.6,Good
26,India,Gaya,2022,74.3,Moderate
30,China,Kashgar,2017,97.5,Moderate
30,China,Kashgar,2018,95.7,Moderate
30,China,Kashgar,2019,87.1,Moderate
30,China,Kashgar,2020,81,Moderate
30,China,Kashgar,2021,83.2,Moderate
30,China,Kashgar,2022,73.4,Moderate
38,India,Gurugram,2017,145.6,Unhealthy
38,India,Gurugram,2018,135.8,Unhealthy
38,India,Gurugram,2019,93.1,Moderate
38,India,Gurugram,2020,75.3,Moderate
38,India,Gurugram,2021,83.4,Moderate
38,India,Gurugram,2022,70,Moderate
47,Bahrain,Manama,2017,62.5,Moderate
47,Bahrain,Manama,2018,59.8,Moderate
47,Bahrain,Manama,2019,46.8,Good
47,Bahrain,Manama,2020,39.7,Good
47,Bahrain,Manama,2021,49.8,Good
47,Bahrain,Manama,2022,66.6,Moderate
48,India,Kanpur,2017,119.2,Unhealthy
48,India,Kanpur,2018,88.2,Moderate
48,India,Kanpur,2019,48.5,Good
48,India,Kanpur,2020,89.1,Moderate
48,India,Kanpur,2021,83.2,Moderate
48,India,Kanpur,2022,66.2,Moderate
49,Bangladesh,Dhaka,2017,79.7,Moderate
49,Bangladesh,Dhaka,2018,97.1,Moderate
49,Bangladesh,Dhaka,2019,83.3,Moderate
49,Bangladesh,Dhaka,2020,77.1,Moderate
49,Bangladesh,Dhaka,2021,78.1,Moderate
49,Bangladesh,Dhaka,2022,65.8,Moderate
54,India,Lucknow,2017,119.2,Unhealthy
54,India,Lucknow,2018,115.7,Unhealthy
54,India,Lucknow,2019,90.3,Moderate
54,India,Lucknow,2020,86.2,Moderate
54,India,Lucknow,2021,86,Moderate
54,India,Lucknow,2022,64.7,Moderate
56,India,Jodhpur,2017,81.9,Moderate
56,India,Jodhpur,2018,113.4,Unhealthy
56,India,Jodhpur,2019,77.2,Moderate
56,India,Jodhpur,2020,67.1,Moderate
56,India,Jodhpur,2021,67.8,Moderate
56,India,Jodhpur,2022,63,Moderate
63,India,Panchkula,2017,52.8,Moderate
63,India,Panchkula,2018,56.2,Moderate
63,India,Panchkula,2019,45.9,Good
63,India,Panchkula,2020,42.8,Good
63,India,Panchkula,2021,48.3,Good
63,India,Panchkula,2022,59.3,Moderate
66,Kuwait,Kuwait City,2017,46.8,Good
66,Kuwait,Kuwait City,2018,56,Moderate
66,Kuwait,Kuwait City,2019,38.3,Good
66,Kuwait,Kuwait City,2020,34,Good
66,Kuwait,Kuwait City,2021,29.7,Good
66,Kuwait,Kuwait City,2022,57.5,Moderate
67,China,Shihezi,2017,60.6,Moderate
67,China,Shihezi,2018,61.3,Moderate
67,China,Shihezi,2019,63.3,Moderate
67,China,Shihezi,2020,57.5,Moderate
67,China,Shihezi,2021,55.7,Moderate
67,China,Shihezi,2022,57.3,Moderate
73,China,Aksu,2017,69.8,Moderate
73,China,Aksu,2018,74.1,Moderate
73,China,Aksu,2019,54,Moderate
73,China,Aksu,2020,58.4,Moderate
73,China,Aksu,2021,51.2,Moderate
73,China,Aksu,2022,55.5,Moderate
75,China,Puyang,2017,68.8,Moderate
75,China,Puyang,2018,63.5,Moderate
75,China,Puyang,2019,63.4,Moderate
75,China,Puyang,2020,59.3,Moderate
75,China,Puyang,2021,52.8,Moderate
75,China,Puyang,2022,54.3,Moderate
76,India,Jaipur,2017,88.3,Moderate
76,India,Jaipur,2018,67.6,Moderate
76,India,Jaipur,2019,50.5,NA
76,India,Jaipur,2020,43.8,Good
76,India,Jaipur,2021,56.6,Moderate
76,India,Jaipur,2022,54.2,Moderate
80,China,Wujiaqu,2017,74.1,Moderate
80,China,Wujiaqu,2018,67.8,Moderate
80,China,Wujiaqu,2019,53.9,Moderate
80,China,Wujiaqu,2020,40.6,Good
80,China,Wujiaqu,2021,41.7,Good
80,China,Wujiaqu,2022,53.3,Moderate
84,China,Kizilsu,2017,43.4,Good
84,China,Kizilsu,2018,60,Moderate
84,China,Kizilsu,2019,48.6,Good
84,China,Kizilsu,2020,52,Moderate
84,China,Kizilsu,2021,43.9,Good
84,China,Kizilsu,2022,52.8,Moderate
85,China,Hebi,2017,64.4,Moderate
85,China,Hebi,2018,55.8,Moderate
85,China,Hebi,2019,62.1,Moderate
85,China,Hebi,2020,58.9,Moderate
85,China,Hebi,2021,51.4,Moderate
85,China,Hebi,2022,52.2,Moderate
87,Russia,Krasnoyarsk,2017,16.4,Good
87,Russia,Krasnoyarsk,2018,23.1,Good
87,Russia,Krasnoyarsk,2019,17.7,Good
87,Russia,Krasnoyarsk,2020,14.7,Good
87,Russia,Krasnoyarsk,2021,49.8,Good
87,Russia,Krasnoyarsk,2022,51.7,Moderate
88,China,Changji,2017,57.6,Moderate
88,China,Changji,2018,55,Moderate
88,China,Changji,2019,48.2,Good
88,China,Changji,2020,53.5,Moderate
88,China,Changji,2021,49.8,Good
88,China,Changji,2022,51.5,Moderate
91,China,Luohe,2017,63.7,Moderate
91,China,Luohe,2018,62.6,Moderate
91,China,Luohe,2019,60,Moderate
91,China,Luohe,2020,55.4,Moderate
91,China,Luohe,2021,49.7,Good
91,China,Luohe,2022,51.2,Moderate
92,India,Pune,2017,37,Good
92,India,Pune,2018,46.3,Good
92,India,Pune,2019,35.7,Good
92,India,Pune,2020,39.7,Good
92,India,Pune,2021,42.2,Good
92,India,Pune,2022,51.1,Moderate
93,China,Anyang,2017,81.1,Moderate
93,China,Anyang,2018,72.9,Moderate
93,China,Anyang,2019,70.3,Moderate
93,China,Anyang,2020,61.5,Moderate
93,China,Anyang,2021,50.8,NA
93,China,Anyang,2022,51,Moderate
94,China,Weinan,2017,68.8,Moderate
94,China,Weinan,2018,58.2,Moderate
94,China,Weinan,2019,55.6,Moderate
94,China,Weinan,2020,52.5,Moderate
94,China,Weinan,2021,45.3,Good
94,China,Weinan,2022,51,Moderate
96,China,Xianyang,2017,77.8,Moderate
96,China,Xianyang,2018,67.8,Moderate
96,China,Xianyang,2019,63.7,Moderate
96,China,Xianyang,2020,50.5,NA
96,China,Xianyang,2021,45.7,Good
96,China,Xianyang,2022,50.8,NA
97,Pakistan,Karachi,2017,38.5,Good
97,Pakistan,Karachi,2018,33.7,Good
97,Pakistan,Karachi,2019,40.2,Good
97,Pakistan,Karachi,2020,43.8,Good
97,Pakistan,Karachi,2021,45.9,Good
97,Pakistan,Karachi,2022,50.6,NA
99,China,Kaifeng,2017,66.8,Moderate
99,China,Kaifeng,2018,64.6,Moderate
99,China,Kaifeng,2019,61,Moderate
99,China,Kaifeng,2020,55.5,Moderate
99,China,Kaifeng,2021,47.8,Good
99,China,Kaifeng,2022,50.2,NA
100,China,Xiangyang,2017,64.4,Moderate
100,China,Xiangyang,2018,60.5,Moderate
100,China,Xiangyang,2019,60.4,Moderate
100,China,Xiangyang,2020,52.5,Moderate
100,China,Xiangyang,2021,50.6,NA
100,China,Xiangyang,2022,50.2,NA
101,China,Yuncheng,2017,71.9,Moderate
101,China,Yuncheng,2018,59.8,Moderate
101,China,Yuncheng,2019,61.2,Moderate
101,China,Yuncheng,2020,57.7,Moderate
101,China,Yuncheng,2021,48.4,Good
101,China,Yuncheng,2022,50.2,NA
102,India,Kolkata,2017,76.7,Moderate
102,India,Kolkata,2018,85.4,Moderate
102,India,Kolkata,2019,59.8,Moderate
102,India,Kolkata,2020,46.6,Good
102,India,Kolkata,2021,59,Moderate
102,India,Kolkata,2022,50.2,NA
104,China,Xinxiang,2017,66.4,Moderate
104,China,Xinxiang,2018,61.4,Moderate
104,China,Xinxiang,2019,55.7,Moderate
104,China,Xinxiang,2020,51.5,Moderate
104,China,Xinxiang,2021,47.3,Good
104,China,Xinxiang,2022,50,Good
108,China,Jiaozuo,2017,74.8,Moderate
108,China,Jiaozuo,2018,66.9,Moderate
108,China,Jiaozuo,2019,61.3,Moderate
108,China,Jiaozuo,2020,56.2,Moderate
108,China,Jiaozuo,2021,47.1,Good
108,China,Jiaozuo,2022,49.5,Good
110,China,Pingdingshan,2017,67.3,Moderate
110,China,Pingdingshan,2018,65.1,Moderate
110,China,Pingdingshan,2019,60.1,Moderate
110,China,Pingdingshan,2020,51.2,Moderate
110,China,Pingdingshan,2021,47.1,Good
110,China,Pingdingshan,2022,49.4,Good
113,China,Linfen,2017,80.6,Moderate
113,China,Linfen,2018,68.2,Moderate
113,China,Linfen,2019,61.7,Moderate
113,China,Linfen,2020,52.5,Moderate
113,China,Linfen,2021,55.5,Moderate
113,China,Linfen,2022,49.1,Good
117,China,Xian,2017,70.2,Moderate
117,China,Xian,2018,59.9,Moderate
117,China,Xian,2019,56.6,Moderate
117,China,Xian,2020,49.3,Good
117,China,Xian,2021,41.1,Good
117,China,Xian,2022,48.6,Good
125,China,Luoyang,2017,72.5,Moderate
125,China,Luoyang,2018,59.9,Moderate
125,China,Luoyang,2019,62.4,Moderate
125,China,Luoyang,2020,50.7,NA
125,China,Luoyang,2021,44.9,Good
125,China,Luoyang,2022,47.4,Good
128,China,Turpan,2017,66.1,Moderate
128,China,Turpan,2018,56.1,Moderate
128,China,Turpan,2019,56.3,Moderate
128,China,Turpan,2020,49.5,Good
128,China,Turpan,2021,49.6,Good
128,China,Turpan,2022,47.3,Good
129,China,Nanyang,2017,57.1,Moderate
129,China,Nanyang,2018,60.6,Moderate
129,China,Nanyang,2019,60,Moderate
129,China,Nanyang,2020,51.4,Moderate
129,China,Nanyang,2021,47.1,Good
129,China,Nanyang,2022,47.2,Good
130,China,Heze,2017,70,Moderate
130,China,Heze,2018,60.1,Moderate
130,China,Heze,2019,59.7,Moderate
130,China,Heze,2020,54.2,Moderate
130,China,Heze,2021,48.5,Good
130,China,Heze,2022,47.2,Good
134,China,Xuchang,2017,63.2,Moderate
134,China,Xuchang,2018,64.2,Moderate
134,China,Xuchang,2019,60.6,Moderate
134,China,Xuchang,2020,53.6,Moderate
134,China,Xuchang,2021,45.1,Good
134,China,Xuchang,2022,46.9,Good
135,India,Nagpur,2017,56.2,Moderate
135,India,Nagpur,2018,46.6,Good
135,India,Nagpur,2019,47.2,Good
135,India,Nagpur,2020,27.1,Good
135,India,Nagpur,2021,35.2,Good
135,India,Nagpur,2022,46.8,Good
138,India,Mumbai,2017,54.2,Moderate
138,India,Mumbai,2018,58.6,Moderate
138,India,Mumbai,2019,45.3,Good
138,India,Mumbai,2020,41.3,Good
138,India,Mumbai,2021,46.4,Good
138,India,Mumbai,2022,46.7,Good
139,China,Handan,2017,96.7,Moderate
139,China,Handan,2018,74,Moderate
139,China,Handan,2019,64.3,Moderate
139,China,Handan,2020,58.9,Moderate
139,China,Handan,2021,45.6,Good
139,China,Handan,2022,46.5,Good
141,China,Shangqiu,2017,61.8,Moderate
141,China,Shangqiu,2018,61.9,Moderate
141,China,Shangqiu,2019,72.6,Moderate
141,China,Shangqiu,2020,52.7,Moderate
141,China,Shangqiu,2021,45.8,Good
141,China,Shangqiu,2022,46.4,Good
147,China,Jinzhong,2017,61,Moderate
147,China,Jinzhong,2018,53.5,Moderate
147,China,Jinzhong,2019,45.5,Good
147,China,Jinzhong,2020,43,Good
147,China,Jinzhong,2021,39.1,Good
147,China,Jinzhong,2022,46.1,Good
151,China,Wuhan,2017,51,Moderate
151,China,Wuhan,2018,46.9,Good
151,China,Wuhan,2019,44.4,Good
151,China,Wuhan,2020,36.5,Good
151,China,Wuhan,2021,46.7,Good
151,China,Wuhan,2022,45.9,Good
152,China,Zhengzhou,2017,70,Moderate
152,China,Zhengzhou,2018,64.1,Moderate
152,China,Zhengzhou,2019,58.4,Moderate
152,China,Zhengzhou,2020,50.9,NA
152,China,Zhengzhou,2021,43.4,Good
152,China,Zhengzhou,2022,45.8,Good
154,China,Sanmenxia,2017,60.7,Moderate
154,China,Sanmenxia,2018,57.5,Moderate
154,China,Sanmenxia,2019,56.1,Moderate
154,China,Sanmenxia,2020,47.5,Good
154,China,Sanmenxia,2021,42.7,Good
154,China,Sanmenxia,2022,45.4,Good
161,China,Zhoukou,2017,59.9,Moderate
161,China,Zhoukou,2018,58.9,Moderate
161,China,Zhoukou,2019,56.6,Moderate
161,China,Zhoukou,2020,50.3,NA
161,China,Zhoukou,2021,44.8,Good
161,China,Zhoukou,2022,44.9,Good
162,China,Jingmen,2017,49.5,Good
162,China,Jingmen,2018,56.2,Moderate
162,China,Jingmen,2019,56.4,Moderate
162,China,Jingmen,2020,45.3,Good
162,China,Jingmen,2021,45.6,Good
162,China,Jingmen,2022,44.8,Good
164,India,Visakhapatnam,2017,50.4,NA
164,India,Visakhapatnam,2018,52.8,Moderate
164,India,Visakhapatnam,2019,44,Good
164,India,Visakhapatnam,2020,40.3,Good
164,India,Visakhapatnam,2021,44.3,Good
164,India,Visakhapatnam,2022,44.7,Good
172,China,Zhumadian,2017,57.9,Moderate
172,China,Zhumadian,2018,60.4,Moderate
172,China,Zhumadian,2019,52.1,Moderate
172,China,Zhumadian,2020,45.9,Good
172,China,Zhumadian,2021,42.9,Good
172,China,Zhumadian,2022,44,Good
174,China,Taiyuan,2017,63.7,Moderate
174,China,Taiyuan,2018,55.9,Moderate
174,China,Taiyuan,2019,53.4,Moderate
174,China,Taiyuan,2020,52.1,Moderate
174,China,Taiyuan,2021,46.3,Good
174,China,Taiyuan,2022,43.9,Good
175,China,Shijiazhuang,2017,98.8,Moderate
175,China,Shijiazhuang,2018,76.7,Moderate
175,China,Shijiazhuang,2019,64,Moderate
175,China,Shijiazhuang,2020,57.6,Moderate
175,China,Shijiazhuang,2021,46.5,Good
175,China,Shijiazhuang,2022,43.8,Good
180,China,Jining,2017,56.2,Moderate
180,China,Jining,2018,50.1,NA
180,China,Jining,2019,56.6,Moderate
180,China,Jining,2020,53.4,Moderate
180,China,Jining,2021,48.1,Good
180,China,Jining,2022,43.6,Good
182,China,Urumqi,2017,76,Moderate
182,China,Urumqi,2018,59.2,Moderate
182,China,Urumqi,2019,54.5,Moderate
182,China,Urumqi,2020,51.2,Moderate
182,China,Urumqi,2021,45.4,Good
182,China,Urumqi,2022,43.3,Good
187,China,Xingtai,2017,103.7,Unhealthy
187,China,Xingtai,2018,76.7,Moderate
187,China,Xingtai,2019,63.5,Moderate
187,China,Xingtai,2020,55.9,Moderate
187,China,Xingtai,2021,44,Good
187,China,Xingtai,2022,43,Good
189,China,Liaocheng,2017,72,Moderate
189,China,Liaocheng,2018,60.3,Moderate
189,China,Liaocheng,2019,58.8,Moderate
189,China,Liaocheng,2020,53.9,Moderate
189,China,Liaocheng,2021,47.6,Good
189,China,Liaocheng,2022,43,Good
191,China,Huaibei,2017,66.2,Moderate
191,China,Huaibei,2018,58.2,Moderate
191,China,Huaibei,2019,55.1,Moderate
191,China,Huaibei,2020,49.8,Good
191,China,Huaibei,2021,42.2,Good
191,China,Huaibei,2022,42.9,Good
197,China,Jingzhou,2017,55.7,Moderate
197,China,Jingzhou,2018,47.7,Good
197,China,Jingzhou,2019,45.3,Good
197,China,Jingzhou,2020,36.1,Good
197,China,Jingzhou,2021,35,Good
197,China,Jingzhou,2022,42.7,Good
198,China,Zibo,2017,63.1,Moderate
198,China,Zibo,2018,55.9,Moderate
198,China,Zibo,2019,57.7,Moderate
198,China,Zibo,2020,53.9,Moderate
198,China,Zibo,2021,49.2,Good
198,China,Zibo,2022,42.7,Good
199,China,Baoding,2017,92.7,Moderate
199,China,Baoding,2018,70.7,Moderate
199,China,Baoding,2019,57.7,Moderate
199,China,Baoding,2020,52.2,Moderate
199,China,Baoding,2021,45.4,Good
199,China,Baoding,2022,42.4,Good
200,India,Hyderabad,2017,51,Moderate
200,India,Hyderabad,2018,44.2,Good
200,India,Hyderabad,2019,39,Good
200,India,Hyderabad,2020,34.7,Good
200,India,Hyderabad,2021,39.4,Good
200,India,Hyderabad,2022,42.4,Good
204,China,Baoji,2017,54.8,Moderate
204,China,Baoji,2018,49.9,Good
204,China,Baoji,2019,49.8,Good
204,China,Baoji,2020,43.8,Good
204,China,Baoji,2021,38,Good
204,China,Baoji,2022,42.2,Good
211,China,Yangquan,2017,63.6,Moderate
211,China,Yangquan,2018,59,Moderate
211,China,Yangquan,2019,50.6,NA
211,China,Yangquan,2020,46.3,Good
211,China,Yangquan,2021,45.9,Good
211,China,Yangquan,2022,42,Good
213,China,Fuyang,2017,66.9,Moderate
213,China,Fuyang,2018,54.4,Moderate
213,China,Fuyang,2019,51.9,Moderate
213,China,Fuyang,2020,50.4,NA
213,China,Fuyang,2021,44.7,Good
213,China,Fuyang,2022,41.8,Good
216,China,Yibin,2017,55.4,Moderate
216,China,Yibin,2018,49.3,Good
216,China,Yibin,2019,45.9,Good
216,China,Yibin,2020,38.8,Good
216,China,Yibin,2021,43.3,Good
216,China,Yibin,2022,41.7,Good
223,China,Bozhou,2017,63.3,Moderate
223,China,Bozhou,2018,57.5,Moderate
223,China,Bozhou,2019,54,Moderate
223,China,Bozhou,2020,48.3,Good
223,China,Bozhou,2021,39.5,Good
223,China,Bozhou,2022,41.2,Good
225,China,Xiaogan,2017,49.4,Good
225,China,Xiaogan,2018,43.9,Good
225,China,Xiaogan,2019,43.9,Good
225,China,Xiaogan,2020,35.9,Good
225,China,Xiaogan,2021,33.9,Good
225,China,Xiaogan,2022,41.1,Good
226,China,Zaozhuang,2017,62,Moderate
226,China,Zaozhuang,2018,57.6,Moderate
226,China,Zaozhuang,2019,59.6,Moderate
226,China,Zaozhuang,2020,54.8,Moderate
226,China,Zaozhuang,2021,44.8,Good
226,China,Zaozhuang,2022,40.9,Good
228,China,Huainan,2017,61.6,Moderate
228,China,Huainan,2018,54.8,Moderate
228,China,Huainan,2019,52.5,Moderate
228,China,Huainan,2020,47.4,Good
228,China,Huainan,2021,42.2,Good
228,China,Huainan,2022,40.8,Good
229,China,Xinyang,2017,53.6,Moderate
229,China,Xinyang,2018,53.8,Moderate
229,China,Xinyang,2019,47.8,Good
229,China,Xinyang,2020,40.7,Good
229,China,Xinyang,2021,39.1,Good
229,China,Xinyang,2022,40.7,Good
230,China,Dezhou,2017,68.5,Moderate
230,China,Dezhou,2018,54.8,Moderate
230,China,Dezhou,2019,53.4,Moderate
230,China,Dezhou,2020,50.1,NA
230,China,Dezhou,2021,44.1,Good
230,China,Dezhou,2022,40.7,Good
232,Nepal,Kathmandu,2017,45.9,Good
232,Nepal,Kathmandu,2018,54.4,Moderate
232,Nepal,Kathmandu,2019,48,Good
232,Nepal,Kathmandu,2020,39.2,Good
232,Nepal,Kathmandu,2021,50.9,NA
232,Nepal,Kathmandu,2022,40.7,Good
233,Pakistan,Islamabad,2017,39.2,Good
233,Pakistan,Islamabad,2018,38.6,Good
233,Pakistan,Islamabad,2019,35.2,Good
233,Pakistan,Islamabad,2020,39,Good
233,Pakistan,Islamabad,2021,41.1,Good
233,Pakistan,Islamabad,2022,40.6,Good
238,China,Suzhou,2017,70.5,Moderate
238,China,Suzhou,2018,57.6,Moderate
238,China,Suzhou,2019,52.6,Moderate
238,China,Suzhou,2020,47,Good
238,China,Suzhou,2021,42,Good
238,China,Suzhou,2022,40.2,Good
240,China,Hengshui,2017,93.3,Moderate
240,China,Hengshui,2018,65.7,Moderate
240,China,Hengshui,2019,56,Moderate
240,China,Hengshui,2020,52.4,Moderate
240,China,Hengshui,2021,42.6,Good
240,China,Hengshui,2022,40.1,Good
241,China,Xuzhou,2017,67.4,Moderate
241,China,Xuzhou,2018,65.5,Moderate
241,China,Xuzhou,2019,57.4,Moderate
241,China,Xuzhou,2020,49.7,Good
241,China,Xuzhou,2021,47.8,Good
241,China,Xuzhou,2022,40.1,Good
242,China,Leshan,2017,55.4,Moderate
242,China,Leshan,2018,45.7,Good
242,China,Leshan,2019,42,Good
242,China,Leshan,2020,35.8,Good
242,China,Leshan,2021,38.6,Good
242,China,Leshan,2022,40.1,Good
243,Vietnam,Hanoi,2017,45.8,Good
243,Vietnam,Hanoi,2018,40.8,Good
243,Vietnam,Hanoi,2019,46.9,Good
243,Vietnam,Hanoi,2020,37.9,Good
243,Vietnam,Hanoi,2021,36.2,Good
243,Vietnam,Hanoi,2022,40.1,Good
245,China,Korla,2017,43,Good
245,China,Korla,2018,46.3,Good
245,China,Korla,2019,47.1,Good
245,China,Korla,2020,44.7,Good
245,China,Korla,2021,42.1,Good
245,China,Korla,2022,40,Good
252,Uganda,Kampala,2017,54.3,Moderate
252,Uganda,Kampala,2018,40.8,Good
252,Uganda,Kampala,2019,29.1,Good
252,Uganda,Kampala,2020,26.1,Good
252,Uganda,Kampala,2021,27.6,Good
252,Uganda,Kampala,2022,39.6,Good
255,India,Solapur,2017,37.7,Good
255,India,Solapur,2018,38.9,Good
255,India,Solapur,2019,36.9,Good
255,India,Solapur,2020,30.6,Good
255,India,Solapur,2021,32.6,Good
255,India,Solapur,2022,39.3,Good
257,China,Taian,2017,57.5,Moderate
257,China,Taian,2018,51.7,Moderate
257,China,Taian,2019,57.6,Moderate
257,China,Taian,2020,51.2,Moderate
257,China,Taian,2021,44.1,Good
257,China,Taian,2022,39.2,Good
260,China,Linyi,2017,56.4,Moderate
260,China,Linyi,2018,50.2,NA
260,China,Linyi,2019,57.7,Moderate
260,China,Linyi,2020,48.4,Good
260,China,Linyi,2021,44.7,Good
260,China,Linyi,2022,39.1,Good
263,China,Changde,2017,51.5,Moderate
263,China,Changde,2018,42.3,Good
263,China,Changde,2019,47.5,Good
263,China,Changde,2020,40.7,Good
263,China,Changde,2021,40,Good
263,China,Changde,2022,39,Good
264,China,Binzhou,2017,66.8,Moderate
264,China,Binzhou,2018,55.8,Moderate
264,China,Binzhou,2019,53.6,Moderate
264,China,Binzhou,2020,49,Good
264,China,Binzhou,2021,42.6,Good
264,China,Binzhou,2022,38.9,Good
266,China,Zigong,2017,69.3,Moderate
266,China,Zigong,2018,56.8,Moderate
266,China,Zigong,2019,47.5,Good
266,China,Zigong,2020,45.1,Good
266,China,Zigong,2021,44.4,Good
266,China,Zigong,2022,38.8,Good
270,China,Jinchang,2017,27.1,Good
270,China,Jinchang,2018,25.2,Good
270,China,Jinchang,2019,20.8,Good
270,China,Jinchang,2020,21.2,Good
270,China,Jinchang,2021,31,Good
270,China,Jinchang,2022,38.4,Good
271,China,Zhangqiu,2017,66.7,Moderate
271,China,Zhangqiu,2018,49.2,Good
271,China,Zhangqiu,2019,50.1,NA
271,China,Zhangqiu,2020,49.1,Good
271,China,Zhangqiu,2021,42.4,Good
271,China,Zhangqiu,2022,38.4,Good
273,China,Chengdu,2017,55.4,Moderate
273,China,Chengdu,2018,48.8,Good
273,China,Chengdu,2019,42.4,Good
273,China,Chengdu,2020,40.5,Good
273,China,Chengdu,2021,40.3,Good
273,China,Chengdu,2022,38.3,Good
275,India,Agra,2017,110.6,Unhealthy
275,India,Agra,2018,104.8,Unhealthy
275,India,Agra,2019,57.2,Moderate
275,India,Agra,2020,80.2,Moderate
275,India,Agra,2021,73.4,Moderate
275,India,Agra,2022,38.2,Good
277,China,Bengbu,2017,59.3,Moderate
277,China,Bengbu,2018,52.8,Moderate
277,China,Bengbu,2019,51.3,Moderate
277,China,Bengbu,2020,44.5,Good
277,China,Bengbu,2021,39.3,Good
277,China,Bengbu,2022,38,Good
278,China,Yichang,2017,57.4,Moderate
278,China,Yichang,2018,52.1,Moderate
278,China,Yichang,2019,52.5,Moderate
278,China,Yichang,2020,40.8,Good
278,China,Yichang,2021,40,Good
278,China,Yichang,2022,38,Good
279,China,Jincheng,2017,63.4,Moderate
279,China,Jincheng,2018,59.8,Moderate
279,China,Jincheng,2019,54.1,Moderate
279,China,Jincheng,2020,46.2,Good
279,China,Jincheng,2021,35.7,Good
279,China,Jincheng,2022,38,Good
281,China,Wuwei,2017,43.8,Good
281,China,Wuwei,2018,42.2,Good
281,China,Wuwei,2019,33.1,Good
281,China,Wuwei,2020,37.6,Good
281,China,Wuwei,2021,40.2,Good
281,China,Wuwei,2022,37.9,Good
283,China,Changzhi,2017,62.3,Moderate
283,China,Changzhi,2018,53.2,Moderate
283,China,Changzhi,2019,47.5,Good
283,China,Changzhi,2020,45.5,Good
283,China,Changzhi,2021,39.2,Good
283,China,Changzhi,2022,37.9,Good
286,China,Suqian,2017,56.9,Moderate
286,China,Suqian,2018,53.1,Moderate
286,China,Suqian,2019,47.9,Good
286,China,Suqian,2020,45.9,Good
286,China,Suqian,2021,39.2,Good
286,China,Suqian,2022,37.8,Good
287,Chile,Coyhaique,2017,39.3,Good
287,Chile,Coyhaique,2018,34.2,Good
287,Chile,Coyhaique,2019,41.5,Good
287,Chile,Coyhaique,2020,33.3,Good
287,Chile,Coyhaique,2021,36.1,Good
287,Chile,Coyhaique,2022,37.7,Good
292,China,Changsha,2017,51.4,Moderate
292,China,Changsha,2018,45.8,Good
292,China,Changsha,2019,46.8,Good
292,China,Changsha,2020,41,Good
292,China,Changsha,2021,43,Good
292,China,Changsha,2022,37.1,Good
